AnimalName,Month,Hemisphere,Availability
anchovy,January,Northern,4 AM – 9 PM
anchovy,February,Northern,4 AM – 9 PM
anchovy,March,Northern,4 AM – 9 PM
anchovy,April,Northern,4 AM – 9 PM
anchovy,May,Northern,4 AM – 9 PM
anchovy,June,Northern,4 AM – 9 PM
anchovy,July,Northern,4 AM – 9 PM
anchovy,August,Northern,4 AM – 9 PM
anchovy,September,Northern,4 AM – 9 PM
anchovy,October,Northern,4 AM – 9 PM
anchovy,November,Northern,4 AM – 9 PM
anchovy,December,Northern,4 AM – 9 PM
anchovy,January,Southern,4 AM – 9 PM
anchovy,February,Southern,4 AM – 9 PM
anchovy,March,Southern,4 AM – 9 PM
anchovy,April,Southern,4 AM – 9 PM
anchovy,May,Southern,4 AM – 9 PM
anchovy,June,Southern,4 AM – 9 PM
anchovy,July,Southern,4 AM – 9 PM
anchovy,August,Southern,4 AM – 9 PM
anchovy,September,Southern,4 AM – 9 PM
anchovy,October,Southern,4 AM – 9 PM
anchovy,November,Southern,4 AM – 9 PM
anchovy,December,Southern,4 AM – 9 PM
angelfish,May,Northern,4 PM – 9 AM
angelfish,June,Northern,4 PM – 9 AM
angelfish,July,Northern,4 PM – 9 AM
angelfish,August,Northern,4 PM – 9 AM
angelfish,September,Northern,4 PM – 9 AM
angelfish,October,Northern,4 PM – 9 AM
angelfish,November,Southern,4 PM – 9 AM
angelfish,December,Southern,4 PM – 9 AM
angelfish,January,Southern,4 PM – 9 AM
angelfish,February,Southern,4 PM – 9 AM
angelfish,March,Southern,4 PM – 9 AM
angelfish,April,Southern,4 PM – 9 AM
arapaima,June,Northern,4 PM – 9 AM
arapaima,July,Northern,4 PM – 9 AM
arapaima,August,Northern,4 PM – 9 AM
arapaima,September,Northern,4 PM – 9 AM
arapaima,December,Southern,4 PM – 9 AM
arapaima,January,Southern,4 PM – 9 AM
arapaima,February,Southern,4 PM – 9 AM
arapaima,March,Southern,4 PM – 9 AM
arowana,June,Northern,4 PM – 9 AM
arowana,July,Northern,4 PM – 9 AM
arowana,August,Northern,4 PM – 9 AM
arowana,September,Northern,4 PM – 9 AM
arowana,December,Southern,4 PM – 9 AM
arowana,January,Southern,4 PM – 9 AM
arowana,February,Southern,4 PM – 9 AM
arowana,March,Southern,4 PM – 9 AM
barred knifejaw,March,Northern,All day
barred knifejaw,April,Northern,All day
barred knifejaw,May,Northern,All day
barred knifejaw,June,Northern,All day
barred knifejaw,July,Northern,All day
barred knifejaw,August,Northern,All day
barred knifejaw,September,Northern,All day
barred knifejaw,October,Northern,All day
barred knifejaw,November,Northern,All day
barred knifejaw,September,Southern,All day
barred knifejaw,October,Southern,All day
barred knifejaw,November,Southern,All day
barred knifejaw,December,Southern,All day
barred knifejaw,January,Southern,All day
barred knifejaw,February,Southern,All day
barred knifejaw,March,Southern,All day
barred knifejaw,April,Southern,All day
barred knifejaw,May,Southern,All day
barreleye,January,Northern,9 PM – 4 AM
barreleye,February,Northern,9 PM – 4 AM
barreleye,March,Northern,9 PM – 4 AM
barreleye,April,Northern,9 PM – 4 AM
barreleye,May,Northern,9 PM – 4 AM
barreleye,June,Northern,9 PM – 4 AM
barreleye,July,Northern,9 PM – 4 AM
barreleye,August,Northern,9 PM – 4 AM
barreleye,September,Northern,9 PM – 4 AM
barreleye,October,Northern,9 PM – 4 AM
barreleye,November,Northern,9 PM – 4 AM
barreleye,December,Northern,9 PM – 4 AM
barreleye,January,Southern,9 PM – 4 AM
barreleye,February,Southern,9 PM – 4 AM
barreleye,March,Southern,9 PM – 4 AM
barreleye,April,Southern,9 PM – 4 AM
barreleye,May,Southern,9 PM – 4 AM
barreleye,June,Southern,9 PM – 4 AM
barreleye,July,Southern,9 PM – 4 AM
barreleye,August,Southern,9 PM – 4 AM
barreleye,September,Southern,9 PM – 4 AM
